1,日常点検をするときは、灯火類を点灯させたり、方向指示器を点滅させて点検する。,○
2,エンジンなどから水やオイルなどがもれるのは、たとえその量が少量であっても異常である。,○
3,この標識は、道路の右側部分へはみ出して追い越すことを禁止している。,○
4,自動車を転回させる場合の合図は右折と同じ要領でおこない、安全確認をしなければならない。,○
5,四輪車の運転者は、左折しようとするとき、バックミラーでは見えない部分に二輪車や自転車がいることを予測し、方向指示器により自分の意思を知らせることが必要である。,○
6,この標識があり、パーキングメーターが設置されている場所で60分をこえて駐車するときは、新たに料金を追加すれば引き続き同じ場所に駐車することができる。,×
7,この標識は、自動車や一般原動機付自転車及び軽車両は通行できないことを表わしている。,×
8,大型特殊免許で運転できるのは、大型特殊自動車、大型自動車、中型自動車、小型特殊自動車、一般原動機付自転車である。,×
9,一般の車両は、交差点や交差点の付近で緊急自動車が近づいてきた場合は、交差点をさけて道路の左側に寄って一時停止をしなければならない。,○
10,仮運転免許では、練習又は路上試験（技能検定）を受ける場合のほかは路上で運転してはならない。,○
11,四輪車の運転者は、二輪車より優越感を持ち、二輪車を軽視する傾向がある。,○
12,進路変更をするときは、まず安全確認をしてから方向指示器で合図を出す。,○
13,信号機の信号が赤色になっても、交差点ですでに右折している車はそのまま進行することができる。,○
14,歩道の縁石に図のような黄色の標示がしてあるときは、その場所に駐車も停車もしてはならない。,○
15,この標識は、「標識による駐車禁止の区間の終わり」を表わしている。,○
16,駐車禁止の場所であっても荷物の積みおろしの場合に限って、時間に関係なく駐車が認められる。,×
17,車両は、車両通行帯の有無に関係なく、トンネルの中は追い越しが禁止されている。,×
18,自動車や一般原動機付自転車は、交通が混雑している道路で路側帯があるときには、その路側帯の中を通行することができる。,×
19,バスや路面電車の運行中、たとえ停留所の標示板から10メートル以内の場所であっても、人の乗り降りのためなら停車することができる。,×
20,車両は、停留所に止まっている路線バスに追いついたときは、一時停止しバスが発進するまでその横を通過してはならない。,×
21,仮運転免許は、第一種運転免許を受けようとする者が練習のため大型自動車、普通自動車又は大型特殊自動車を運転しようとする場合に必要な免許である。,×
22,車両は、交差点とその側端から５メートル以内の部分には、駐車も停車もしてはならない。,○
23,図の警察官の灯火による信号の意味は、矢印の方向から接近する交通に対する信号機の赤色の灯火の信号と同じである。,×
24,「高齢者運転標識」をつけて走っている車を追い越してはならない。,×
25,一般の通行車両が一方通行の道路で緊急自動車に進路をゆずる場合は、左側に寄るとかえってさまたげになるときは道路の右側に寄らなければならない。,○
26,路面に図のような標示があるときは、その前方に交差点があることを示している。,×
27,この標識は、「ロータリーあり」を表す警戒標識である。,○
28,自動車を運転して右折するときは、あらかじめその前からできる限り道路の中央に寄り、交差点の中心のすぐ内側（標識などによって、通行すべきところが指定されているときは、その指定されたところ）を徐行しなければならない。,○
29,自動車を運転して追い越しを始めるときは、ハンドル操作を手ぎわよくするため、あらかじめ前車との車間距離を短くしてから始めるのがよい。,×
30,車両は、車両通行帯のある道路では、追い越しなどでやむを得ない場合のほかは二つの車両通行帯にまたがって通行してはならない。,○
31,この標識は、「横断歩道」を表わしている。,○
32,交通整理中の警察官が腕を垂直に上げているとき、警察官の身体の正面に対面する交通については、信号機の赤色の灯火の信号と同じ意味である。,○
33,車両等は、一時停止の標識があるときは停止線の直前で、停止線がないときは交差点の直前で一時停止しなければならない。,○
34,一方通行の道路に駐停車するときは、道路の側端に沿って止めれば左右どちら側に駐停車してもよい。,×
35,車両等は、横断歩道に近づいた場合、歩行者が横断しているときは一時停止しなければならないが、これから横断しようとしている場合は徐行すれば通行してもよい。,×
36,６才未満の幼児を普通自動車に乗車させる際は、幼児の体型に応じた幼児用補助装置（チャイルドシート）を用いなければならない。,○
37,自動車または一般原動機付自転車を運転中、横断歩道や自転車横断帯の手前で止まっている車があるときは、その側方を通過して前方に出る前に一時停止しなければならない。,○
38,車両等の運転者は、やむなく坂道に車を止めて車から離れるときは、危険防止のため輪止めをしておかなければならない。,○
39,普通貨物自動車（ミニカーを除く）の一般道路での法定最高速度は50キロメートル毎時である。,×
40,正面の信号が青色のときは、車は直進し、左折し、右折することができる。,×
41,右折するときには内輪差は生じない。,×
42,歩道と車道の区別のない道路で、車が歩行者のそばを通るときは必ず徐行しなければならない。,×
43,児童、幼児の乗り降りのため停止している通学・通園バスの側方を通るとき、バスとの間に安全な間隔がとれれば徐行しないで通ってもよい。,×
44,この標識は、自動車の最高速度が、５０キロメートル毎時であることを表わしている。,○
45,車両は一方通行になっている道路では道路の中央から右の部分にはみ出して通行することができる。,○
46,バスや路面電車の停留所から10メートル以内は追い越しが禁止されている(運行時間外を除く)。,×
47,この標識のある道路では、車庫などに入るため右横断をしてはならない。,○
48,大型乗用自動車の一般道路での法定最高速度は60キロメートル毎時である。,○
49,停止距離とは、ブレーキがきき始めてから車が停止するまでの距離をいう。,×
50,車両は、歩道や路側帯のない道路では、道路の左側端に沿って駐車しなければならない。,○
51,二輪車に乗るときは、両ひじをのばした姿勢で運転する。,×
52,オートマチック車のエンジンを始動するときは、ハンドブレーキをかけ、チェンジレバーがＰ（パーキング）の位置にあることを確認し、ブレーキペダルを踏んで始動する。,○
53,けん引のための構造装置のある車で、車両総重量７５０Ｋｇのけん引されるための構造装置のある車をけん引するときは、けん引免許はいらない。,○
54,交差点で、警察官が「止まれ」の手信号をしていたので、警察官の１メートル手前で停止した。,×
55,ブレーキペダルを強く踏んだとき、スポンジを踏んだようにフワフワした感じがするときは、ブレーキ液がもれている。,×
56,車を運転している場合、「止まれ」の標識と「赤色の灯火の点滅」信号は同じ意味をもつ。,○
57,高速道路における大型貨物自動車の最高速度は９０キロメートル毎時である。,○
58,高速自動車国道は、故障した自動車をロープでけん引している自動車は通行できない。,○
59,オートマチック車は、駐車して車から離れるとき、チェンジレバーを上り坂ではＬ、平地や下り坂ではＲの位置に入れておく。,×
60,自動車の右側に３.５メートルの余地がない道路で、荷物を積むため車のそばで運転者がさしずしながら１０分間車を止めた。,○
61,下り坂でフットブレーキがきかなくなったときは、ハンドブレーキを引いても効果がないので、山側のみぞに車輪を落としたり、道路わきの土砂などに突っ込んで止めるほかに方法はない。,×
62,停止位置の直前で信号が赤色に変わっても、安全に停止できないときはそのまま進行してもよい。,×
63,まがり角では、見通しがよくても悪くても、追越しは禁止されている。,○
64,歩行者用道路は、警察署長の許可を受ければ通行することができるが、歩行者がいてもいなくても、必ず徐行しなければならない。,○
65,この道路標示のある場所では、人の乗り降りのためであっても車を停止してはならない。,○
66,踏切内で故障したときは、まず故障車の移動に全力をつくし、どうしても動かない場合は、最後の手段として踏切支障報知装置を使う。,×
