1,徐行や停止をするときにも、合図をしなければならない。,○
2,前車が一般原動機付自転車を追い越そうとしているときに、その車を追い越しても二重追い越しにはならない。,○
3,この標識は、道路の右側部分へはみ出して追い越すことを禁止している。,×
4,自動車を車道の左側端に停車していて発進しようとする場合の合図は、右折の場合と同じ要領でおこない安全確認をしなければならない。,○
5,四輪車の運転者は、左折しようとするとき、バックミラーでは見えない部分に二輪車や自転車がいることを予測し、方向指示器により自分の意思を知らせることが必要である。,○
6,対向車のライトがまぶしいときは、視線をやや右前方に移して目がくらまないようにする。,×
7,この標識は、自動車や一般原動機付自転車及び軽車両は通行できないことを表わしている。,×
8,大型特殊免許で運転できるのは、大型特殊自動車、大型自動車、小型特殊自動車、一般原動機付自転車である。,×
9,一般の車両は、交差点や交差点の付近で緊急自動車が近づいてきた場合は、交差点をさけて道路の左側に寄って一時停止をしなければならない。,○
10,仮運転免許では、練習又は路上試験（技能検定）を受ける場合のほかは路上で運転してはならない。,○
11,道路外の施設へ進入するため、歩道を横切るときは、歩行者のあるなしに係わらず、必ず一時停止して安全を確かめなければならない。,○
12,進路変更をするときは、まず方向指示器で合図をしてから安全を確認する。,×
13,信号機の信号が赤色になっても、交差点ですでに右折している車はそのまま進行することができる。,○
14,障害物がある場所ですれちがうときは、障害物のある方を進行する車が優先して通行することが出来る。,×
15,図の交差点にさしかかったＡ車はアの交差点の手前で徐行しなければならない。,×
16,歩行者や自転車のそばを通るときは、必ず徐行しなければならない。,×
17,車両は、車両通行帯の有無に関係なく、トンネルの中は追い越しが禁止されている。,×
18,自動車や一般原動機付自転車は、交通が混雑している道路で路側帯があるときには、その路側帯の中を通行することができる。,×
19,前方の交差点を左折しようとするときは、左側を通行する車の安全を考え、道路の中央に寄ってから徐行しながら左折する。,×
20,車両は、停留所に止まっている路線バスに追いついたときは、一時停止しバスが発進するまでその横を通過してはならない。,×
21,仮運転免許は、第一種運転免許を受けようとする者が練習のため大型自動車、中型自動車、準中型自動車、普通自動車又は大型特殊自動車を運転しようとする場合に必要な免許である。,×
22,車は、横断歩道のない交差点や、その近くを歩行者が横断しているときは、その通行を妨げてはいけません。,○
23,この警察官の灯火による信号の意味は、矢印の方向から接近する交通に対する信号機の青色の灯火の信号と同じである。,×
24,運転免許には、第一種運転免許、第二種運転免許及び仮運転免許の三種がある。,○
