Q1,歩行者用道路は、自動車は通行できないが、軽車両や原動機付自転車は通行できる。,×
Q2,横断歩道や自転車横断帯とその手前から5メートル以内の場所は、駐車も停車もできないが、その先の5メートル以内の場所には駐車も停車もできる,×
Q3,進路を変更すると、後車が急ブレーキや急ハンドルで避けなければならないような状況では、進路変更してはならない。,○
Q4,バス停留所から10メートル以内は、駐車は禁止されているが停車はしてもよい。,×
Q5,長距離運転をするときは、昼間より夜間走行する方が、交通量も少なく、つかれも少ない。,×
Q6,交通事故を起こすと、自動車損害賠償責任保険証書が必要となるので、紛失しないようにコピーしたものを携行するとよい。,×
Q7,オートマチック車を運転中、上り坂などで停止したときは、アクセルペダルをわずかに踏んで後ろに下がらないようにするとよい。,×
Q8,マニュアル車で高速道路を走行中、故障等のため走行することができなくなったときは、できればセルモーターを使って路側帯や路肩に移動させる。,○
Q9,6歳未満の幼児を乗せて運転するときは、どんなときでもチャイルドシートを使用すべきである。,×
Q10,運転中に携帯電話で通話することは、交通量が多く混んでいる道路では禁止されているが、交通量も少なく運転の妨げにならなければ禁止していない。,×
Q11,この標識は「最低速度30キロメートル毎時」をあらわしている。,○
Q12,この標識は、車両はすべて通行できないが歩行者は通行してよい。,×
Q13,この標示は「横断歩道又は自転車横断帯あり」をあらわしている。,○
Q14,この標示は、最高速度50キロメートル毎時の区間の始まりをあらわしている。,×
Q15,この標識は「警笛禁止」を意味する。,×
Q16,この標識は「車両通行止め」を意味する。,○
Q17,この標識は「二輪車以外の車両通行止め」を意味する。,×
Q18,この図は交通整理の行なわれていない道幅の同じ交差点に入ろうとしているが、二輪車が優先して通行できる。,○
Q19,自動車の前面ガラスには、次の検査の時期(年、月)を示す検査標章をはらなければならない。,○
Q20,この標識は「追い越し禁止」のみをあらわしたものである。,×
Q21,歩道や路側帯のない道路で駐車するときは、車の左側に0.75メートルの余地をあける。,×
Q22,普通自動二輪車を運転中、カーブにさしかかったので、カーブの直前で減速した。,×
Q23,自動車を後退させるときは、シートベルトはつけなくてよい。,○
Q24,走行中、速度が速いほど注視点が遠くなり、近くが見えなくなる。,○
Q25,トンネル内を通行するときは方向指示器をつけるか、非常点滅表示灯をつけるようにする。,×
Q26,図の標識を付けている車には、危険をさけるためやむを得ない場合以外、側方へ幅寄せしたり、前方へ割り込んだりしてはならない。,○
Q27,本線車道に入ろうとするときは、前方の車より後方からくる車に気をつけなければならない。,○
Q28,本線車道から出るときは、減速車線を通り感覚にたよらず速度計で確かめて速度を落とす。,○
Q29,霧の日は早めにライトをつけるが、上向きにした方が見とおしがよくきく。,×
Q30,信号機のない踏切ではその手前で一時停止し、窓をあけ、目と耳で左右の安全を確かめる。,○
Q31,走行中に後車から追い越されるときは、速度を下げなければならない。,×
Q32,右、左折する場合は、必ず徐行しなければならない。,○
Q33,「こう配の急な坂」では、車の輪止めをすれば、駐車することができる。,×
Q34,進路の前方に障害物があるときは、あらかじめ一時停止か減速して対向車に道をゆずる。,○
Q35,長時間運転を続けるときは、2時間に1回は運転をやめて休息をとるようにする。,○
Q36,高速自動車国道を通行中、故障したが昼間であったので路側帯に入れて止め、非常点滅表示灯だけをつけた。,×
Q37,駐車場、車庫などの自動車専用の出入り口から3メートル以内の場所は駐車してはならない。,○
Q38,追い越し中は、追い越す車との間がなるべく接近するようにして追い越す。,×
Q39,高速道路を走行中、前方の交通が渋滞し、ノロノロ運転になってしまったので、やむを得ず路側帯を通行した。,×
Q40,故障車をロープ等でけん引するときは、けん引する車と故障車の間は、5メートル以内にする。,○
Q41,坂道の狭い道路で車が行き違うとき、待避所があるときは、お互いの車に優先権は生じないので状況に応じどちらかが先に待避所に入り、お互いゆずり合って通行するのが交通のマナーである。,○
Q42,下り坂を走行するときは、エンジンブレーキをかけるが、エンジンスイッチは切った方がよい。,×
Q43,住宅街の見とおしのきかない交差点に近づいたが、いつ子供が飛び出してくるか分からないので、あらかじめ警音器を鳴らし速度を落として通行した。,×
Q44,エンジンをとめて二輪車を押して歩くときでも、横断歩道や歩道は通行できない。,×
Q45,止まっている通学通園バスのそばをとおるとき、保育士が児童に付き添っていたので徐行しないで側方を通った。,×
Q46,自転車横断帯の直前で停止している車があっても、進路の前方を横断している自転車が見えないときは、そのまま通行してよい。,×
Q47,追い越しをしようとするときは、必ず警音器を鳴らさなければならない。,×
Q48,前方混雑のため踏切内で停止することになるおそれがあったが、警報機が鳴っていないのでそのまま進入した。,×
Q49,狭い道路から広い道路にはいるときは、徐行して広い道路を通行する車の進行を妨げないようにする。,○
Q50,夜間横断歩道に近づいた時、ライトの光で横断歩道を横断する人が見えなかったが、対向車のライトで歩行者が見えなくなることもあるので、横断歩道の手前で停止できるように十分速度を落として進行した。,○
Q51,通行している道路が優先道路であれば、横断歩道の手前30メートル以内で追い越してもよい。,×
Q52,マニュアル車を運転中、やむを得ず急ブレーキをかけるときは、クラッチとブレーキを同時に踏みこむ。,×
