Q1,道路を通行するときは、相手の立場にたち思いやりの気持ちを持って運転することが大切である。,○

Q2,夜間、横断歩道に近づいたとき、前照灯の光で、横断する歩行者が見えないときは、横断する人がいないことが明らかであるから、そのままの速度で進行してよい。,×

Q3,一方通行では、車の中央から右の部分にはいって通行することができる。,○

Q4,日常点検では、ブレーキオイルや冷却水のリザーバ・タンク内の量が規定の範囲内にあるかを、点検しなければならない。,○

Q5,歩行者用道路はとくに許可を受けた車が通行できるが、許可がなくても徐行すれば通行することができる。,×

Q6,追い越し禁止場所では、自動車は軽車両以外の車両を追い越してはならない。,○

Q7,踏切に近づいたとき表示する信号が青色であったので、停止することなく通過した。,○

Q8,遠心力の大きさは、車の積み荷が重いほど小さく作用する。,×

Q9,こう配の急な坂は、上り下り共に、停車も駐車もしてはならない。,○

Q10,駐車禁止の場所でも、車の右側に3.5メートル以上の余地があれば、左側端に寄せて駐車してよい。,×

Q11,この信号に対面した原動機付自転車が、二段階右折方法の標識がある交差点だったので、徐行しながら交差点の向う側まで進んでとまった。,×

Q12,この標示は、車両が行う右折の方法をあらわしている。,○

Q13,この標識がある道路では、歩行者に注意して徐行すれば、どんな車でも通行することができる。,×

Q14,この路側帯では、車の駐停車が禁止されているが、軽車両は通行することができる。,×

Q15,この標識は、近くに横断歩道があることを表わしている。,×

Q16,この標識のある道路では、普通乗用自動車以外の自動車は通行できない。,×

Q17,この標識がある場所は、大型バスなどは通行することができない。,○

Q18,この標識のある区間で、自動車が原動機付自転車を追い越した。,×

Q19,この標示は「前方交差点あり」をあらわしている。,×

Q20,この標識がある道路でも、自転車や歩行者は通行してよい。,×

Q21,駐車禁止の場所で、運転者が車から離れても5分以内に戻れば駐車違反にならない。,×

Q22,この図は交通整理の行なわれていない道幅の同じ交差点に入ろうとしているが、二輪車が優先して通行できる。,○

Q23,この補助標識は、交通規制の「始まり」を表わしている。,×

Q24,路線バス専用通行帯が道路の左端に指定されていたが、左折するためその通行帯に入った。,○

Q25,車を他人に貸して事故が起きたとき、貸した方には責任はないが、借りた方に責任がある。,×

Q26,横断歩道のない交差点付近に近づいたとき、進路の前方を歩行者が横断していたが、横断歩道がないところでは車の方が優先するから、一時停止や徐行しなくてもよい。,×

Q27,昼間でも濃い霧の中で、50メートル後方から見えない場所で駐停車するときは、駐車灯か尾灯等をつける。,○

Q28,白い「つえ」を持った人や、子供のそばを通るときは、警音器で注意をうながして通行する。,×

Q29,横断歩道の手前30メートル以内では、追い越すときに限り前者の側方を通過することができる。,×

Q30,積載物の重量で原動機付自転車は30kgまで、普通自二輪・大型自二輪は60kgまで積んでよい。,○

Q31,前方の交差点が交通混雑のため、警察官が信号機と異なる手信号をしていたが、前方の信号が青であれば、他の交通に注意して進行することができる。,×

Q32,普通乗用自動車に追いつかれた普通貨物自動車が、道路の中央寄りに寄って後車に進路をゆずった。,×

Q33,追い越しをするとき、後車が追い越しを始めているようなときは、追い越さないようにする。,○

Q34,夜間、高速道路でやむを得ず駐停車するときは、非常点滅表示灯、駐車灯又は尾灯をつけるほか、停止標示器材を車の後方に置かなければならない。,○

Q35,転回禁止の標識があったが、他の交通の妨げにならなかったので転回した。,×

